case_name,test_group,mode,x_flag,xfer_label,gpu_id,threads,dataset,io_size,throughput_gib_s,avg_latency_us,iops,ops,total_time_s,exit_code,case_dir,xfer_match
io_size_sweep_throughput__write__x2__th8__io1M,io_size_sweep_throughput,write,2,CPU_GPU,0,8,1G,1M,2.306196,3374.977864,2361.544879,69995,29.639496,0,/home/poc/gds_bench/results/full_20260417_230730/cases/io_size_sweep_throughput__write__x2__th8__io1M,1
io_size_sweep_throughput__write__x2__th8__io2M,io_size_sweep_throughput,write,2,CPU_GPU,0,8,1G,2M,2.433649,6420.780724,1246.028472,36919,29.629339,0,/home/poc/gds_bench/results/full_20260417_230730/cases/io_size_sweep_throughput__write__x2__th8__io2M,1
io_size_sweep_throughput__write__x2__th8__io4M,io_size_sweep_throughput,write,2,CPU_GPU,0,8,1G,4M,2.643646,11833.787099,676.773397,20035,29.603705,0,/home/poc/gds_bench/results/full_20260417_230730/cases/io_size_sweep_throughput__write__x2__th8__io4M,1
io_size_sweep_latency__write__x2__th8__io4K,io_size_sweep_latency,write,2,CPU_GPU,0,8,1G,4K,1.221119,25.001363,320109.119096,9427808,29.451857,0,/home/poc/gds_bench/results/full_20260417_230730/cases/io_size_sweep_latency__write__x2__th8__io4K,1
io_size_sweep_latency__write__x2__th8__io8K,io_size_sweep_latency,write,2,CPU_GPU,0,8,1G,8K,1.863573,32.753301,244262.297185,7236954,29.627798,0,/home/poc/gds_bench/results/full_20260417_230730/cases/io_size_sweep_latency__write__x2__th8__io8K,1
io_size_sweep_latency__write__x2__th8__io16K,io_size_sweep_latency,write,2,CPU_GPU,0,8,1G,16K,1.788218,68.263870,117192.624802,3490546,29.784690,0,/home/poc/gds_bench/results/full_20260417_230730/cases/io_size_sweep_latency__write__x2__th8__io16K,1
io_size_sweep_latency__write__x2__th8__io32K,io_size_sweep_latency,write,2,CPU_GPU,0,8,1G,32K,1.895911,128.778611,62125.218583,1853209,29.830221,0,/home/poc/gds_bench/results/full_20260417_230730/cases/io_size_sweep_latency__write__x2__th8__io32K,1
io_size_sweep_latency__write__x2__th8__io64K,io_size_sweep_latency,write,2,CPU_GPU,0,8,1G,64K,3.557153,137.246394,58280.399175,1745935,29.957499,0,/home/poc/gds_bench/results/full_20260417_230730/cases/io_size_sweep_latency__write__x2__th8__io64K,1
io_size_sweep_latency__write__x2__th8__io128K,io_size_sweep_latency,write,2,CPU_GPU,0,8,1G,128K,4.695004,207.998656,38461.471531,1149292,29.881644,0,/home/poc/gds_bench/results/full_20260417_230730/cases/io_size_sweep_latency__write__x2__th8__io128K,1
thread_sweep_throughput__write__x2__th1__io1M,thread_sweep_throughput,write,2,CPU_GPU,0,1,1G,1M,4.222997,231.246295,4324.349204,129280,29.895828,0,/home/poc/gds_bench/results/full_20260417_230730/cases/thread_sweep_throughput__write__x2__th1__io1M,1
thread_sweep_throughput__write__x2__th2__io1M,thread_sweep_throughput,write,2,CPU_GPU,0,2,1G,1M,4.671702,418.069427,4783.822890,142207,29.726644,0,/home/poc/gds_bench/results/full_20260417_230730/cases/thread_sweep_throughput__write__x2__th2__io1M,1
thread_sweep_throughput__write__x2__th4__io1M,thread_sweep_throughput,write,2,CPU_GPU,0,4,1G,1M,4.138423,943.887627,4237.744831,126448,29.838512,0,/home/poc/gds_bench/results/full_20260417_230730/cases/thread_sweep_throughput__write__x2__th4__io1M,1
thread_sweep_throughput__write__x2__th8__io1M,thread_sweep_throughput,write,2,CPU_GPU,0,8,1G,1M,3.977932,1963.926254,4073.401921,121667,29.868646,0,/home/poc/gds_bench/results/full_20260417_230730/cases/thread_sweep_throughput__write__x2__th8__io1M,1
thread_sweep_throughput__write__x2__th16__io1M,thread_sweep_throughput,write,2,CPU_GPU,0,16,1G,1M,3.488983,4478.865062,3572.719090,106219,29.730577,0,/home/poc/gds_bench/results/full_20260417_230730/cases/thread_sweep_throughput__write__x2__th16__io1M,1
thread_sweep_throughput__write__x2__th32__io1M,thread_sweep_throughput,write,2,CPU_GPU,0,32,1G,1M,1.709659,18278.073646,1750.691266,51749,29.559181,0,/home/poc/gds_bench/results/full_20260417_230730/cases/thread_sweep_throughput__write__x2__th32__io1M,1
thread_sweep_latency__write__x2__th1__io4K,thread_sweep_latency,write,2,CPU_GPU,0,1,1G,4K,0.320245,11.911746,83950.223446,2480545,29.547807,0,/home/poc/gds_bench/results/full_20260417_230730/cases/thread_sweep_latency__write__x2__th1__io4K,1
thread_sweep_latency__write__x2__th2__io4K,thread_sweep_latency,write,2,CPU_GPU,0,2,1G,4K,0.611252,12.481486,160236.035621,4773743,29.791944,0,/home/poc/gds_bench/results/full_20260417_230730/cases/thread_sweep_latency__write__x2__th2__io4K,1
thread_sweep_latency__write__x2__th4__io4K,thread_sweep_latency,write,2,CPU_GPU,0,4,1G,4K,0.984789,15.503480,258156.419032,7661718,29.678588,0,/home/poc/gds_bench/results/full_20260417_230730/cases/thread_sweep_latency__write__x2__th4__io4K,1
thread_sweep_latency__write__x2__th8__io4K,thread_sweep_latency,write,2,CPU_GPU,0,8,1G,4K,0.983967,31.016133,257941.104911,7702133,29.860045,0,/home/poc/gds_bench/results/full_20260417_230730/cases/thread_sweep_latency__write__x2__th8__io4K,1
thread_sweep_latency__write__x2__th16__io4K,thread_sweep_latency,write,2,CPU_GPU,0,16,1G,4K,1.227416,49.728311,321759.833146,9609230,29.864604,0,/home/poc/gds_bench/results/full_20260417_230730/cases/thread_sweep_latency__write__x2__th16__io4K,1
thread_sweep_latency__write__x2__th32__io4K,thread_sweep_latency,write,2,CPU_GPU,0,32,1G,4K,0.823369,148.515715,215841.117036,6414937,29.720644,0,/home/poc/gds_bench/results/full_20260417_230730/cases/thread_sweep_latency__write__x2__th32__io4K,1
io_size_sweep_throughput__read__x0__th8__io128K,io_size_sweep_throughput,read,0,GPUD,0,8,1G,128K,2.598317,375.916390,21285.414312,630439,29.618357,0,/home/poc/gds_bench/results/full_20260417_230730/cases/io_size_sweep_throughput__read__x0__th8__io128K,1
io_size_sweep_throughput__read__x0__th8__io256K,io_size_sweep_throughput,read,0,GPUD,0,8,1G,256K,4.100729,476.296439,16796.586164,502249,29.901850,0,/home/poc/gds_bench/results/full_20260417_230730/cases/io_size_sweep_throughput__read__x0__th8__io256K,1
io_size_sweep_throughput__read__x0__th8__io512K,io_size_sweep_throughput,read,0,GPUD,0,8,1G,512K,4.782689,816.738152,9794.947187,293018,29.915220,0,/home/poc/gds_bench/results/full_20260417_230730/cases/io_size_sweep_throughput__read__x0__th8__io512K,1
io_size_sweep_throughput__read__x0__th8__io1M,io_size_sweep_throughput,read,0,GPUD,0,8,1G,1M,5.012707,1558.543778,5133.011469,153245,29.854794,0,/home/poc/gds_bench/results/full_20260417_230730/cases/io_size_sweep_throughput__read__x0__th8__io1M,1
io_size_sweep_throughput__read__x0__th8__io2M,io_size_sweep_throughput,read,0,GPUD,0,8,1G,2M,5.167047,3023.938759,2645.528200,77234,29.194170,0,/home/poc/gds_bench/results/full_20260417_230730/cases/io_size_sweep_throughput__read__x0__th8__io2M,1
io_size_sweep_throughput__read__x0__th8__io4M,io_size_sweep_throughput,read,0,GPUD,0,8,1G,4M,5.102892,6127.707445,1306.340473,38126,29.185347,0,/home/poc/gds_bench/results/full_20260417_230730/cases/io_size_sweep_throughput__read__x0__th8__io4M,1
io_size_sweep_latency__read__x0__th8__io4K,io_size_sweep_latency,read,0,GPUD,0,8,1G,4K,0.071349,427.747658,18703.713758,551868,29.505798,0,/home/poc/gds_bench/results/full_20260417_230730/cases/io_size_sweep_latency__read__x0__th8__io4K,1
io_size_sweep_latency__read__x0__th8__io8K,io_size_sweep_latency,read,0,GPUD,0,8,1G,8K,0.152105,401.369459,19936.703737,584876,29.336645,0,/home/poc/gds_bench/results/full_20260417_230730/cases/io_size_sweep_latency__read__x0__th8__io8K,1
io_size_sweep_latency__read__x0__th8__io16K,io_size_sweep_latency,read,0,GPUD,0,8,1G,16K,0.304388,401.313367,19948.355638,587971,29.474660,0,/home/poc/gds_bench/results/full_20260417_230730/cases/io_size_sweep_latency__read__x0__th8__io16K,1
io_size_sweep_latency__read__x0__th8__io32K,io_size_sweep_latency,read,0,GPUD,0,8,1G,32K,0.625073,390.644526,20482.388260,604415,29.509010,0,/home/poc/gds_bench/results/full_20260417_230730/cases/io_size_sweep_latency__read__x0__th8__io32K,1
io_size_sweep_latency__read__x0__th8__io64K,io_size_sweep_latency,read,0,GPUD,0,8,1G,64K,1.318185,370.532355,21597.140093,643954,29.816633,0,/home/poc/gds_bench/results/full_20260417_230730/cases/io_size_sweep_latency__read__x0__th8__io64K,1
io_size_sweep_latency__read__x0__th8__io128K,io_size_sweep_latency,read,0,GPUD,0,8,1G,128K,2.680240,364.365999,21956.525416,652987,29.739997,0,/home/poc/gds_bench/results/full_20260417_230730/cases/io_size_sweep_latency__read__x0__th8__io128K,1
thread_sweep_throughput__read__x0__th1__io1M,thread_sweep_throughput,read,0,GPUD,0,1,1G,1M,2.706281,360.843823,2771.231980,81952,29.572407,0,/home/poc/gds_bench/results/full_20260417_230730/cases/thread_sweep_throughput__read__x0__th1__io1M,1
thread_sweep_throughput__read__x0__th2__io1M,thread_sweep_throughput,read,0,GPUD,0,2,1G,1M,4.211785,463.754093,4312.867649,127464,29.554350,0,/home/poc/gds_bench/results/full_20260417_230730/cases/thread_sweep_throughput__read__x0__th2__io1M,1
thread_sweep_throughput__read__x0__th4__io1M,thread_sweep_throughput,read,0,GPUD,0,4,1G,1M,5.001036,781.076864,5121.060630,151223,29.529625,0,/home/poc/gds_bench/results/full_20260417_230730/cases/thread_sweep_throughput__read__x0__th4__io1M,1
thread_sweep_throughput__read__x0__th8__io1M,thread_sweep_throughput,read,0,GPUD,0,8,1G,1M,5.144184,1518.698540,5267.644446,155988,29.612477,0,/home/poc/gds_bench/results/full_20260417_230730/cases/thread_sweep_throughput__read__x0__th8__io1M,1
thread_sweep_throughput__read__x0__th16__io1M,thread_sweep_throughput,read,0,GPUD,0,16,1G,1M,5.056661,3089.867194,5178.021012,151450,29.248626,0,/home/poc/gds_bench/results/full_20260417_230730/cases/thread_sweep_throughput__read__x0__th16__io1M,1
thread_sweep_throughput__read__x0__th32__io1M,thread_sweep_throughput,read,0,GPUD,0,32,1G,1M,3.362037,9309.200182,3442.726157,99931,29.026706,0,/home/poc/gds_bench/results/full_20260417_230730/cases/thread_sweep_throughput__read__x0__th32__io1M,1
thread_sweep_latency__read__x0__th1__io4K,thread_sweep_latency,read,0,GPUD,0,1,1G,4K,0.119362,31.958604,31290.121298,910958,29.113278,0,/home/poc/gds_bench/results/full_20260417_230730/cases/thread_sweep_latency__read__x0__th1__io4K,1
thread_sweep_latency__read__x0__th2__io4K,thread_sweep_latency,read,0,GPUD,0,2,1G,4K,0.081739,93.342077,21427.260125,631441,29.469050,0,/home/poc/gds_bench/results/full_20260417_230730/cases/thread_sweep_latency__read__x0__th2__io4K,1
thread_sweep_latency__read__x0__th4__io4K,thread_sweep_latency,read,0,GPUD,0,4,1G,4K,0.084338,181.172372,22108.768537,657246,29.727843,0,/home/poc/gds_bench/results/full_20260417_230730/cases/thread_sweep_latency__read__x0__th4__io4K,1
thread_sweep_latency__read__x0__th8__io4K,thread_sweep_latency,read,0,GPUD,0,8,1G,4K,0.071226,428.541892,18671.475874,552332,29.581593,0,/home/poc/gds_bench/results/full_20260417_230730/cases/thread_sweep_latency__read__x0__th8__io4K,1
thread_sweep_latency__read__x0__th16__io4K,thread_sweep_latency,read,0,GPUD,0,16,1G,4K,0.069487,879.265922,18215.593351,532759,29.247414,0,/home/poc/gds_bench/results/full_20260417_230730/cases/thread_sweep_latency__read__x0__th16__io4K,1
thread_sweep_latency__read__x0__th32__io4K,thread_sweep_latency,read,0,GPUD,0,32,1G,4K,0.067901,1798.678007,17799.869247,529153,29.727915,0,/home/poc/gds_bench/results/full_20260417_230730/cases/thread_sweep_latency__read__x0__th32__io4K,1
io_size_sweep_throughput__read__x2__th8__io128K,io_size_sweep_throughput,read,2,CPU_GPU,0,8,1G,128K,4.137202,236.041776,33891.961366,984397,29.045147,0,/home/poc/gds_bench/results/full_20260417_230730/cases/io_size_sweep_throughput__read__x2__th8__io128K,1
io_size_sweep_throughput__read__x2__th8__io256K,io_size_sweep_throughput,read,2,CPU_GPU,0,8,1G,256K,5.888843,331.661087,24120.702332,721030,29.892579,0,/home/poc/gds_bench/results/full_20260417_230730/cases/io_size_sweep_throughput__read__x2__th8__io256K,1
io_size_sweep_throughput__read__x2__th8__io512K,io_size_sweep_throughput,read,2,CPU_GPU,0,8,1G,512K,6.709032,582.229938,13740.097855,409224,29.783194,0,/home/poc/gds_bench/results/full_20260417_230730/cases/io_size_sweep_throughput__read__x2__th8__io512K,1
io_size_sweep_throughput__read__x2__th8__io1M,io_size_sweep_throughput,read,2,CPU_GPU,0,8,1G,1M,6.837252,1142.614110,7001.346513,209274,29.890536,0,/home/poc/gds_bench/results/full_20260417_230730/cases/io_size_sweep_throughput__read__x2__th8__io1M,1
io_size_sweep_throughput__read__x2__th8__io2M,io_size_sweep_throughput,read,2,CPU_GPU,0,8,1G,2M,6.839252,2284.536421,3501.697052,104309,29.788128,0,/home/poc/gds_bench/results/full_20260417_230730/cases/io_size_sweep_throughput__read__x2__th8__io2M,1
io_size_sweep_throughput__read__x2__th8__io4M,io_size_sweep_throughput,read,2,CPU_GPU,0,8,1G,4M,6.806870,4661.328176,1742.558837,51727,29.684507,0,/home/poc/gds_bench/results/full_20260417_230730/cases/io_size_sweep_throughput__read__x2__th8__io4M,1
io_size_sweep_latency__read__x2__th8__io4K,io_size_sweep_latency,read,2,CPU_GPU,0,8,1G,4K,0.430341,70.914011,112811.199407,3349832,29.694144,0,/home/poc/gds_bench/results/full_20260417_230730/cases/io_size_sweep_latency__read__x2__th8__io4K,1
io_size_sweep_latency__read__x2__th8__io8K,io_size_sweep_latency,read,2,CPU_GPU,0,8,1G,8K,0.787036,77.550341,103158.407522,3047660,29.543496,0,/home/poc/gds_bench/results/full_20260417_230730/cases/io_size_sweep_latency__read__x2__th8__io8K,1
io_size_sweep_latency__read__x2__th8__io16K,io_size_sweep_latency,read,2,CPU_GPU,0,8,1G,16K,1.385059,88.136807,90771.218596,2703633,29.785135,0,/home/poc/gds_bench/results/full_20260417_230730/cases/io_size_sweep_latency__read__x2__th8__io16K,1
io_size_sweep_latency__read__x2__th8__io32K,io_size_sweep_latency,read,2,CPU_GPU,0,8,1G,32K,1.641347,148.743255,53783.645080,1605215,29.845783,0,/home/poc/gds_bench/results/full_20260417_230730/cases/io_size_sweep_latency__read__x2__th8__io32K,1
io_size_sweep_latency__read__x2__th8__io64K,io_size_sweep_latency,read,2,CPU_GPU,0,8,1G,64K,2.911855,167.685996,47707.839665,1423176,29.831072,0,/home/poc/gds_bench/results/full_20260417_230730/cases/io_size_sweep_latency__read__x2__th8__io64K,1
io_size_sweep_latency__read__x2__th8__io128K,io_size_sweep_latency,read,2,CPU_GPU,0,8,1G,128K,4.028868,242.388999,33004.487001,985743,29.866939,0,/home/poc/gds_bench/results/full_20260417_230730/cases/io_size_sweep_latency__read__x2__th8__io128K,1
thread_sweep_throughput__read__x2__th1__io1M,thread_sweep_throughput,read,2,CPU_GPU,0,1,1G,1M,3.273860,298.286847,3352.432675,99872,29.790904,0,/home/poc/gds_bench/results/full_20260417_230730/cases/thread_sweep_throughput__read__x2__th1__io1M,1
thread_sweep_throughput__read__x2__th2__io1M,thread_sweep_throughput,read,2,CPU_GPU,0,2,1G,1M,5.197986,375.739479,5322.737393,158389,29.757057,0,/home/poc/gds_bench/results/full_20260417_230730/cases/thread_sweep_throughput__read__x2__th2__io1M,1
thread_sweep_throughput__read__x2__th4__io1M,thread_sweep_throughput,read,2,CPU_GPU,0,4,1G,1M,6.577519,593.866981,6735.379235,200145,29.715476,0,/home/poc/gds_bench/results/full_20260417_230730/cases/thread_sweep_throughput__read__x2__th4__io1M,1
thread_sweep_throughput__read__x2__th8__io1M,thread_sweep_throughput,read,2,CPU_GPU,0,8,1G,1M,6.884585,1134.754961,7049.815540,210423,29.848015,0,/home/poc/gds_bench/results/full_20260417_230730/cases/thread_sweep_throughput__read__x2__th8__io1M,1
thread_sweep_throughput__read__x2__th16__io1M,thread_sweep_throughput,read,2,CPU_GPU,0,16,1G,1M,6.810933,2294.053112,6974.395276,208162,29.846602,0,/home/poc/gds_bench/results/full_20260417_230730/cases/thread_sweep_throughput__read__x2__th16__io1M,1
thread_sweep_throughput__read__x2__th32__io1M,thread_sweep_throughput,read,2,CPU_GPU,0,32,1G,1M,6.832468,4662.916287,6996.447549,206822,29.561002,0,/home/poc/gds_bench/results/full_20260417_230730/cases/thread_sweep_throughput__read__x2__th32__io1M,1
thread_sweep_latency__read__x2__th1__io4K,thread_sweep_latency,read,2,CPU_GPU,0,1,1G,4K,0.292343,13.048661,76635.870025,2277387,29.716985,0,/home/poc/gds_bench/results/full_20260417_230730/cases/thread_sweep_latency__read__x2__th1__io4K,1
thread_sweep_latency__read__x2__th2__io4K,thread_sweep_latency,read,2,CPU_GPU,0,2,1G,4K,0.113827,67.025587,29839.163811,891955,29.892091,0,/home/poc/gds_bench/results/full_20260417_230730/cases/thread_sweep_latency__read__x2__th2__io4K,1
thread_sweep_latency__read__x2__th4__io4K,thread_sweep_latency,read,2,CPU_GPU,0,4,1G,4K,0.218456,69.850240,57267.031495,1692869,29.560970,0,/home/poc/gds_bench/results/full_20260417_230730/cases/thread_sweep_latency__read__x2__th4__io4K,1
thread_sweep_latency__read__x2__th8__io4K,thread_sweep_latency,read,2,CPU_GPU,0,8,1G,4K,0.431256,70.764246,113051.267809,3357345,29.697544,0,/home/poc/gds_bench/results/full_20260417_230730/cases/thread_sweep_latency__read__x2__th8__io4K,1
thread_sweep_latency__read__x2__th16__io4K,thread_sweep_latency,read,2,CPU_GPU,0,16,1G,4K,0.787204,77.533273,206360.908035,6107638,29.596875,0,/home/poc/gds_bench/results/full_20260417_230730/cases/thread_sweep_latency__read__x2__th16__io4K,1
thread_sweep_latency__read__x2__th32__io4K,thread_sweep_latency,read,2,CPU_GPU,0,32,1G,4K,1.462837,83.467383,383473.955321,11384296,29.687273,0,/home/poc/gds_bench/results/full_20260417_230730/cases/thread_sweep_latency__read__x2__th32__io4K,1
