case_name,test_group,mode,pattern,target_metric,sweep_axis,repeat_id,x_flag,xfer_label,gpu_id,threads,dataset,io_size,throughput_gib_s,avg_latency_us,iops,ops,total_time_s,exit_code,case_dir,xfer_match,prepared_dataset
thread_sweep_throughput__write__x0__th8__io1M__rep1,thread_sweep_throughput,write,seq,throughput,threads,1,0,GPUD,0,8,1G,1M,4.763150,1639.938823,4877.465862,44408,9.104728,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_throughput__write__x0__th8__io1M__rep1,1,1
thread_sweep_throughput__write__x0__th16__io1M__rep1,thread_sweep_throughput,write,seq,throughput,threads,1,0,GPUD,0,16,1G,1M,3.436811,4545.865866,3519.294023,33496,9.517818,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_throughput__write__x0__th16__io1M__rep1,1,1
thread_sweep_throughput__write__x0__th32__io1M__rep1,thread_sweep_throughput,write,seq,throughput,threads,1,0,GPUD,0,32,1G,1M,2.367007,12740.656482,2423.815288,27575,11.376692,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_throughput__write__x0__th32__io1M__rep1,1,1
thread_sweep_iops__write__x0__th1__io4K__rep1,thread_sweep_iops,write,rand,iops_latency,threads,1,0,GPUD,0,1,1G,4K,0.114888,33.202543,30117.240644,278529,9.248158,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_iops__write__x0__th1__io4K__rep1,1,1
thread_sweep_iops__write__x0__th2__io4K__rep1,thread_sweep_iops,write,rand,iops_latency,threads,1,0,GPUD,0,2,1G,4K,0.102913,74.154984,26977.900039,257698,9.552189,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_iops__write__x0__th2__io4K__rep1,1,1
thread_sweep_iops__write__x0__th4__io4K__rep1,thread_sweep_iops,write,rand,iops_latency,threads,1,0,GPUD,0,4,1G,4K,0.077782,196.377265,20390.157987,200768,9.846319,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_iops__write__x0__th4__io4K__rep1,1,1
thread_sweep_iops__write__x0__th8__io4K__rep1,thread_sweep_iops,write,rand,iops_latency,threads,1,0,GPUD,0,8,1G,4K,0.078643,388.290437,20615.881913,198567,9.631749,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_iops__write__x0__th8__io4K__rep1,1,1
thread_sweep_iops__write__x0__th16__io4K__rep1,thread_sweep_iops,write,rand,iops_latency,threads,1,0,GPUD,0,16,1G,4K,0.075797,806.471657,19869.652931,198576,9.993934,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_iops__write__x0__th16__io4K__rep1,1,1
thread_sweep_iops__write__x0__th32__io4K__rep1,thread_sweep_iops,write,rand,iops_latency,threads,1,0,GPUD,0,32,1G,4K,0.073143,1669.043270,19174.055917,195382,10.189915,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_iops__write__x0__th32__io4K__rep1,1,1
io_size_sweep_throughput__read__x2__th8__io128K__rep1,io_size_sweep_throughput,read,seq,throughput,io_size,1,2,CPU_GPU,0,8,1G,128K,4.530581,215.544452,37114.518217,344588,9.284453,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_throughput__read__x2__th8__io128K__rep1,1,1
io_size_sweep_throughput__read__x2__th8__io256K__rep1,io_size_sweep_throughput,read,seq,throughput,io_size,1,2,CPU_GPU,0,8,1G,256K,5.807105,336.322655,23785.904050,228333,9.599509,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_throughput__read__x2__th8__io256K__rep1,1,1
io_size_sweep_throughput__read__x2__th8__io512K__rep1,io_size_sweep_throughput,read,seq,throughput,io_size,1,2,CPU_GPU,0,8,1G,512K,6.616768,590.325139,13551.141231,130102,9.600815,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_throughput__read__x2__th8__io512K__rep1,1,1
io_size_sweep_throughput__read__x2__th8__io1M__rep1,io_size_sweep_throughput,read,seq,throughput,io_size,1,2,CPU_GPU,0,8,1G,1M,6.875552,1136.203133,7040.565271,67577,9.598235,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_throughput__read__x2__th8__io1M__rep1,1,1
io_size_sweep_throughput__read__x2__th8__io2M__rep1,io_size_sweep_throughput,read,seq,throughput,io_size,1,2,CPU_GPU,0,8,1G,2M,6.843370,2282.973767,3503.805600,33721,9.624107,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_throughput__read__x2__th8__io2M__rep1,1,1
io_size_sweep_throughput__read__x2__th8__io4M__rep1,io_size_sweep_throughput,read,seq,throughput,io_size,1,2,CPU_GPU,0,8,1G,4M,6.813797,4587.310084,1744.332125,16662,9.552080,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_throughput__read__x2__th8__io4M__rep1,1,1
io_size_sweep_iops__read__x2__th32__io4K__rep1,io_size_sweep_iops,read,rand,iops_latency,io_size,1,2,CPU_GPU,0,32,1G,4K,1.232082,99.075913,322982.891513,3071535,9.509900,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_iops__read__x2__th32__io4K__rep1,1,1
io_size_sweep_iops__read__x2__th32__io8K__rep1,io_size_sweep_iops,read,rand,iops_latency,io_size,1,2,CPU_GPU,0,32,1G,8K,1.994492,122.405043,261421.996391,2447725,9.363118,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_iops__read__x2__th32__io8K__rep1,1,1
io_size_sweep_iops__read__x2__th32__io16K__rep1,io_size_sweep_iops,read,rand,iops_latency,io_size,1,2,CPU_GPU,0,32,1G,16K,2.945218,165.785747,193017.811455,1826974,9.465313,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_iops__read__x2__th32__io16K__rep1,1,1
io_size_sweep_iops__read__x2__th32__io32K__rep1,io_size_sweep_iops,read,rand,iops_latency,io_size,1,2,CPU_GPU,0,32,1G,32K,4.151409,235.232919,136033.362160,1294745,9.517849,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_iops__read__x2__th32__io32K__rep1,1,1
io_size_sweep_iops__read__x2__th32__io64K__rep1,io_size_sweep_iops,read,rand,iops_latency,io_size,1,2,CPU_GPU,0,32,1G,64K,5.477805,356.544764,89748.349958,857850,9.558393,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_iops__read__x2__th32__io64K__rep1,1,1
io_size_sweep_iops__read__x2__th32__io128K__rep1,io_size_sweep_iops,read,rand,iops_latency,io_size,1,2,CPU_GPU,0,32,1G,128K,6.391228,611.171337,52356.936273,501324,9.575121,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_iops__read__x2__th32__io128K__rep1,1,1
thread_sweep_throughput__read__x2__th1__io1M__rep1,thread_sweep_throughput,read,seq,throughput,threads,1,2,CPU_GPU,0,1,1G,1M,3.014954,323.891748,3087.313234,29616,9.592807,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_throughput__read__x2__th1__io1M__rep1,1,1
thread_sweep_throughput__read__x2__th2__io1M__rep1,thread_sweep_throughput,read,seq,throughput,threads,1,2,CPU_GPU,0,2,1G,1M,4.775314,408.986175,4889.921811,46943,9.599949,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_throughput__read__x2__th2__io1M__rep1,1,1
thread_sweep_throughput__read__x2__th4__io1M__rep1,thread_sweep_throughput,read,seq,throughput,threads,1,2,CPU_GPU,0,4,1G,1M,6.540167,597.237994,6697.130721,64254,9.594258,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_throughput__read__x2__th4__io1M__rep1,1,1
thread_sweep_throughput__read__x2__th8__io1M__rep1,thread_sweep_throughput,read,seq,throughput,threads,1,2,CPU_GPU,0,8,1G,1M,6.805053,1147.968795,6968.373775,66935,9.605541,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_throughput__read__x2__th8__io1M__rep1,1,1
thread_sweep_throughput__read__x2__th16__io1M__rep1,thread_sweep_throughput,read,seq,throughput,threads,1,2,CPU_GPU,0,16,1G,1M,6.842782,2283.248414,7007.008362,67302,9.604955,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_throughput__read__x2__th16__io1M__rep1,1,1
thread_sweep_throughput__read__x2__th32__io1M__rep1,thread_sweep_throughput,read,seq,throughput,threads,1,2,CPU_GPU,0,32,1G,1M,6.805701,4790.176175,6969.038233,65977,9.467160,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_throughput__read__x2__th32__io1M__rep1,1,1
thread_sweep_iops__read__x2__th1__io4K__rep1,thread_sweep_iops,read,rand,iops_latency,threads,1,2,CPU_GPU,0,1,1G,4K,0.057194,66.695835,14993.192191,144188,9.616898,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_iops__read__x2__th1__io4K__rep1,1,1
thread_sweep_iops__read__x2__th2__io4K__rep1,thread_sweep_iops,read,rand,iops_latency,threads,1,2,CPU_GPU,0,2,1G,4K,0.111325,68.531270,29183.250491,281808,9.656498,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_iops__read__x2__th2__io4K__rep1,1,1
thread_sweep_iops__read__x2__th4__io4K__rep1,thread_sweep_iops,read,rand,iops_latency,threads,1,2,CPU_GPU,0,4,1G,4K,0.216788,70.384775,56829.551155,536770,9.445262,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_iops__read__x2__th4__io4K__rep1,1,1
thread_sweep_iops__read__x2__th8__io4K__rep1,thread_sweep_iops,read,rand,iops_latency,threads,1,2,CPU_GPU,0,8,1G,4K,0.404109,75.522440,105934.775897,1013262,9.564961,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_iops__read__x2__th8__io4K__rep1,1,1
thread_sweep_iops__read__x2__th16__io4K__rep1,thread_sweep_iops,read,rand,iops_latency,threads,1,2,CPU_GPU,0,16,1G,4K,0.734763,83.068522,192613.823222,1819127,9.444426,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_iops__read__x2__th16__io4K__rep1,1,1
thread_sweep_iops__read__x2__th32__io4K__rep1,thread_sweep_iops,read,rand,iops_latency,threads,1,2,CPU_GPU,0,32,1G,4K,1.227295,99.462605,321727.931097,3029867,9.417482,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_iops__read__x2__th32__io4K__rep1,1,1
io_size_sweep_throughput__write__x2__th8__io128K__rep1,io_size_sweep_throughput,write,seq,throughput,io_size,1,2,CPU_GPU,0,8,1G,128K,3.045691,320.625095,24950.297242,240629,9.644334,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_throughput__write__x2__th8__io128K__rep1,1,1
io_size_sweep_throughput__write__x2__th8__io256K__rep1,io_size_sweep_throughput,write,seq,throughput,io_size,1,2,CPU_GPU,0,8,1G,256K,3.740158,522.498418,15319.685889,150521,9.825332,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_throughput__write__x2__th8__io256K__rep1,1,1
io_size_sweep_throughput__write__x2__th8__io512K__rep1,io_size_sweep_throughput,write,seq,throughput,io_size,1,2,CPU_GPU,0,8,1G,512K,2.999137,1300.389066,6142.231897,57588,9.375745,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_throughput__write__x2__th8__io512K__rep1,1,1
io_size_sweep_throughput__write__x2__th8__io1M__rep1,io_size_sweep_throughput,write,seq,throughput,io_size,1,2,CPU_GPU,0,8,1G,1M,3.687440,2118.619822,3775.938343,36345,9.625422,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_throughput__write__x2__th8__io1M__rep1,1,1
io_size_sweep_throughput__write__x2__th8__io2M__rep1,io_size_sweep_throughput,write,seq,throughput,io_size,1,2,CPU_GPU,0,8,1G,2M,3.949917,3955.480834,2022.357579,19382,9.583864,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_throughput__write__x2__th8__io2M__rep1,1,1
io_size_sweep_throughput__write__x2__th8__io4M__rep1,io_size_sweep_throughput,write,seq,throughput,io_size,1,2,CPU_GPU,0,8,1G,4M,5.627269,5552.725043,1440.580829,13688,9.501723,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_throughput__write__x2__th8__io4M__rep1,1,1
io_size_sweep_iops__write__x2__th32__io4K__rep1,io_size_sweep_iops,write,rand,iops_latency,io_size,1,2,CPU_GPU,0,32,1G,4K,1.039382,117.446748,272467.741857,2699157,9.906336,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_iops__write__x2__th32__io4K__rep1,1,1
io_size_sweep_iops__write__x2__th32__io8K__rep1,io_size_sweep_iops,write,rand,iops_latency,io_size,1,2,CPU_GPU,0,32,1G,8K,0.894320,272.981029,117220.319140,1162674,9.918707,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_iops__write__x2__th32__io8K__rep1,1,1
io_size_sweep_iops__write__x2__th32__io16K__rep1,io_size_sweep_iops,write,rand,iops_latency,io_size,1,2,CPU_GPU,0,32,1G,16K,1.303780,374.504764,85444.509930,862458,10.093779,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_iops__write__x2__th32__io16K__rep1,1,1
io_size_sweep_iops__write__x2__th32__io32K__rep1,io_size_sweep_iops,write,rand,iops_latency,io_size,1,2,CPU_GPU,0,32,1G,32K,1.341781,727.804315,43967.493356,429338,9.764896,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_iops__write__x2__th32__io32K__rep1,1,1
io_size_sweep_iops__write__x2__th32__io64K__rep1,io_size_sweep_iops,write,rand,iops_latency,io_size,1,2,CPU_GPU,0,32,1G,64K,1.509821,1293.573947,24736.902341,234730,9.489062,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_iops__write__x2__th32__io64K__rep1,1,1
io_size_sweep_iops__write__x2__th32__io128K__rep1,io_size_sweep_iops,write,rand,iops_latency,io_size,1,2,CPU_GPU,0,32,1G,128K,1.225727,3187.146380,10041.152432,98234,9.783140,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_iops__write__x2__th32__io128K__rep1,1,1
thread_sweep_throughput__write__x2__th1__io1M__rep1,thread_sweep_throughput,write,seq,throughput,threads,1,2,CPU_GPU,0,1,1G,1M,2.614754,373.471043,2677.507677,26384,9.853940,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_throughput__write__x2__th1__io1M__rep1,1,1
thread_sweep_throughput__write__x2__th2__io1M__rep1,thread_sweep_throughput,write,seq,throughput,threads,1,2,CPU_GPU,0,2,1G,1M,2.195912,890.435858,2248.613577,22815,10.146252,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_throughput__write__x2__th2__io1M__rep1,1,1
